date,bundesland_id,bundesland_name,landkreis_id,landkreis_name,anzahl_standorte,anzahl_meldebereiche,faelle_covid_aktuell,faelle_covid_aktuell_invasiv_beatmet,intensivbetten_frei,occupancy,intensivbetten_belegt_erwachsen,intensivbetten_frei_erwachsen
2020-04-24,15,Sachsen-Anhalt,15084,LK Burgenlandkreis,3,3,1,1,37,22,22,37
2020-04-25,15,Sachsen-Anhalt,15084,LK Burgenlandkreis,3,3,1,1,32,27,27,32
2020-04-26,15,Sachsen-Anhalt,15084,LK Burgenlandkreis,3,3,1,1,32,27,27,32
2020-04-27,15,Sachsen-Anhalt,15084,LK Burgenlandkreis,3,3,1,1,34,25,25,34
2020-04-28,15,Sachsen-Anhalt,15084,LK Burgenlandkreis,3,3,1,1,34,25,25,34
2020-04-29,15,Sachsen-Anhalt,15084,LK Burgenlandkreis,3,3,1,1,32,27,27,32
2020-04-30,15,Sachsen-Anhalt,15084,LK Burgenlandkreis,3,3,1,1,33,26,26,33
2020-05-01,15,Sachsen-Anhalt,15084,LK Burgenlandkreis,3,3,1,1,32,27,27,32
2020-05-02,15,Sachsen-Anhalt,15084,LK Burgenlandkreis,3,3,0,0,36,19,19,36
2020-05-03,15,Sachsen-Anhalt,15084,LK Burgenlandkreis,3,3,0,0,37,18,18,37
2020-05-04,15,Sachsen-Anhalt,15084,LK Burgenlandkreis,3,3,0,0,41,18,18,41
2020-05-05,15,Sachsen-Anhalt,15084,LK Burgenlandkreis,3,3,0,0,33,26,26,33
2020-05-06,15,Sachsen-Anhalt,15084,LK Burgenlandkreis,3,3,0,0,33,26,26,33
2020-05-07,15,Sachsen-Anhalt,15084,LK Burgenlandkreis,3,3,0,0,33,24,24,33
2020-05-08,15,Sachsen-Anhalt,15084,LK Burgenlandkreis,3,3,0,0,22,35,35,22
2020-05-09,15,Sachsen-Anhalt,15084,LK Burgenlandkreis,3,3,0,0,30,27,27,30
2020-05-10,15,Sachsen-Anhalt,15084,LK Burgenlandkreis,3,3,0,0,31,26,26,31
2020-05-11,15,Sachsen-Anhalt,15084,LK Burgenlandkreis,3,3,0,0,30,27,27,30
2020-05-12,15,Sachsen-Anhalt,15084,LK Burgenlandkreis,3,3,0,0,24,33,33,24
2020-05-13,15,Sachsen-Anhalt,15084,LK Burgenlandkreis,3,3,0,0,23,34,34,23
2020-05-14,15,Sachsen-Anhalt,15084,LK Burgenlandkreis,3,3,0,0,25,32,32,25
2020-05-15,15,Sachsen-Anhalt,15084,LK Burgenlandkreis,3,3,0,0,23,34,34,23
2020-05-16,15,Sachsen-Anhalt,15084,LK Burgenlandkreis,3,3,0,0,27,30,30,27
2020-05-17,15,Sachsen-Anhalt,15084,LK Burgenlandkreis,3,3,0,0,30,27,27,30
2020-05-18,15,Sachsen-Anhalt,15084,LK Burgenlandkreis,3,3,0,0,37,20,20,37
2020-05-19,15,Sachsen-Anhalt,15084,LK Burgenlandkreis,3,3,0,0,29,28,28,29
2020-05-20,15,Sachsen-Anhalt,15084,LK Burgenlandkreis,3,3,0,0,27,30,30,27
2020-05-21,15,Sachsen-Anhalt,15084,LK Burgenlandkreis,3,3,0,0,25,32,32,25
2020-05-22,15,Sachsen-Anhalt,15084,LK Burgenlandkreis,3,3,0,0,29,28,28,29
2020-05-23,15,Sachsen-Anhalt,15084,LK Burgenlandkreis,3,3,0,0,34,25,25,34
2020-05-24,15,Sachsen-Anhalt,15084,LK Burgenlandkreis,3,3,0,0,34,23,23,34
2020-05-25,15,Sachsen-Anhalt,15084,LK Burgenlandkreis,3,3,0,0,31,26,26,31
2020-05-26,15,Sachsen-Anhalt,15084,LK Burgenlandkreis,3,3,0,0,27,23,23,27
2020-05-27,15,Sachsen-Anhalt,15084,LK Burgenlandkreis,3,3,0,0,32,25,25,32
2020-05-28,15,Sachsen-Anhalt,15084,LK Burgenlandkreis,3,3,0,0,32,28,28,32
2020-05-29,15,Sachsen-Anhalt,15084,LK Burgenlandkreis,3,3,1,1,29,28,28,29
2020-05-30,15,Sachsen-Anhalt,15084,LK Burgenlandkreis,3,3,0,0,33,24,24,33
2020-05-31,15,Sachsen-Anhalt,15084,LK Burgenlandkreis,3,3,0,0,36,21,21,36
2020-06-01,15,Sachsen-Anhalt,15084,LK Burgenlandkreis,3,3,0,0,33,24,24,33
2020-06-02,15,Sachsen-Anhalt,15084,LK Burgenlandkreis,3,3,0,0,34,23,23,34
2020-06-03,15,Sachsen-Anhalt,15084,LK Burgenlandkreis,3,3,0,0,27,30,30,27
2020-06-04,15,Sachsen-Anhalt,15084,LK Burgenlandkreis,3,3,0,0,32,25,25,32
2020-06-05,15,Sachsen-Anhalt,15084,LK Burgenlandkreis,3,3,0,0,32,25,25,32
2020-06-06,15,Sachsen-Anhalt,15084,LK Burgenlandkreis,3,3,0,0,36,25,25,36
2020-06-07,15,Sachsen-Anhalt,15084,LK Burgenlandkreis,3,3,0,0,39,18,18,39
2020-06-08,15,Sachsen-Anhalt,15084,LK Burgenlandkreis,3,3,0,0,30,27,27,30
2020-06-09,15,Sachsen-Anhalt,15084,LK Burgenlandkreis,3,3,0,0,25,32,32,25
2020-06-10,15,Sachsen-Anhalt,15084,LK Burgenlandkreis,3,3,0,0,26,31,31,26
2020-06-11,15,Sachsen-Anhalt,15084,LK Burgenlandkreis,3,3,0,0,30,27,27,30
2020-06-12,15,Sachsen-Anhalt,15084,LK Burgenlandkreis,3,3,0,0,22,35,35,22
2020-06-13,15,Sachsen-Anhalt,15084,LK Burgenlandkreis,3,3,0,0,28,29,29,28
2020-06-14,15,Sachsen-Anhalt,15084,LK Burgenlandkreis,3,3,0,0,27,30,30,27
2020-06-15,15,Sachsen-Anhalt,15084,LK Burgenlandkreis,3,3,0,0,37,20,20,37
2020-06-16,15,Sachsen-Anhalt,15084,LK Burgenlandkreis,3,3,0,0,32,27,27,32
2020-06-17,15,Sachsen-Anhalt,15084,LK Burgenlandkreis,3,3,0,0,29,30,30,29
2020-06-18,15,Sachsen-Anhalt,15084,LK Burgenlandkreis,3,3,0,0,38,25,25,38
2020-06-19,15,Sachsen-Anhalt,15084,LK Burgenlandkreis,3,3,0,0,34,29,29,34
2020-06-20,15,Sachsen-Anhalt,15084,LK Burgenlandkreis,3,3,0,0,26,31,31,26
2020-06-21,15,Sachsen-Anhalt,15084,LK Burgenlandkreis,3,3,0,0,40,19,19,40
2020-06-22,15,Sachsen-Anhalt,15084,LK Burgenlandkreis,3,3,0,0,37,22,22,37
2020-06-23,15,Sachsen-Anhalt,15084,LK Burgenlandkreis,3,3,0,0,37,22,22,37
2020-06-24,15,Sachsen-Anhalt,15084,LK Burgenlandkreis,3,3,0,0,37,22,22,37
2020-06-25,15,Sachsen-Anhalt,15084,LK Burgenlandkreis,3,3,0,0,35,24,24,35
2020-06-26,15,Sachsen-Anhalt,15084,LK Burgenlandkreis,3,3,0,0,31,28,28,31
2020-06-27,15,Sachsen-Anhalt,15084,LK Burgenlandkreis,3,3,0,0,31,27,27,31
2020-06-28,15,Sachsen-Anhalt,15084,LK Burgenlandkreis,3,3,0,0,35,24,24,35
2020-06-29,15,Sachsen-Anhalt,15084,LK Burgenlandkreis,3,3,0,0,31,28,28,31
2020-06-30,15,Sachsen-Anhalt,15084,LK Burgenlandkreis,3,3,0,0,25,34,34,25
