target_days: 30
parameters: 
trend: None
damped_trend: False
seasonal: mul
seasonal_periods: 240
initialization_method: estimated
Mean Absolute Error = 16.466666666666665
Mean Squared Error = 384.73333333333335
Root Mean Squared Error = 19.614620397380452
Mean Absolute Percentage Error = 0.09473899487656605
dates,occupancy
2024-03-20,156
2024-03-21,157
2024-03-22,157
2024-03-23,153
2024-03-24,151
2024-03-25,150
2024-03-26,152
2024-03-27,152
2024-03-28,153
2024-03-29,156
2024-03-30,152
2024-03-31,151
2024-04-01,148
2024-04-02,149
2024-04-03,150
2024-04-04,150
2024-04-05,150
2024-04-06,152
2024-04-07,153
2024-04-08,153
2024-04-09,153
2024-04-10,155
2024-04-11,150
2024-04-12,149
2024-04-13,150
2024-04-14,149
2024-04-15,148
2024-04-16,153
2024-04-17,150
2024-04-18,149
