target_days: 30
parameters: 
trend: add
damped_trend: False
seasonal: mul
seasonal_periods: 350
initialization_method: heuristic
Mean Absolute Error = 11.066666666666666
Mean Squared Error = 198.2
Root Mean Squared Error = 14.078352176302452
Mean Absolute Percentage Error = 0.0672144129645274
dates,occupancy
2024-03-20,173
2024-03-21,166
2024-03-22,165
2024-03-23,167
2024-03-24,177
2024-03-25,178
2024-03-26,172
2024-03-27,170
2024-03-28,183
2024-03-29,171
2024-03-30,164
2024-03-31,169
2024-04-01,168
2024-04-02,179
2024-04-03,181
2024-04-04,166
2024-04-05,164
2024-04-06,166
2024-04-07,166
2024-04-08,170
2024-04-09,167
2024-04-10,194
2024-04-11,164
2024-04-12,158
2024-04-13,173
2024-04-14,183
2024-04-15,163
2024-04-16,193
2024-04-17,158
2024-04-18,175
