target_days: 30
parameters: 
trend: mul
damped_trend: False
seasonal: mul
seasonal_periods: 60
initialization_method: estimated
Mean Absolute Error = 9.5
Mean Squared Error = 136.43333333333334
Root Mean Squared Error = 11.680468027152566
Mean Absolute Percentage Error = 0.07149113982141815
dates,occupancy
2019-02-28,153
2019-03-01,150
2019-03-02,156
2019-03-03,153
2019-03-04,157
2019-03-05,158
2019-03-06,151
2019-03-07,150
2019-03-08,150
2019-03-09,152
2019-03-10,151
2019-03-11,152
2019-03-12,150
2019-03-13,144
2019-03-14,141
2019-03-15,143
2019-03-16,139
2019-03-17,139
2019-03-18,142
2019-03-19,145
2019-03-20,143
2019-03-21,139
2019-03-22,134
2019-03-23,135
2019-03-24,136
2019-03-25,142
2019-03-26,148
2019-03-27,148
2019-03-28,151
2019-03-29,151
