target_days: 30
parameters: 
trend: None
damped_trend: False
seasonal: mul
seasonal_periods: 30
initialization_method: estimated
Mean Absolute Error = 8.333333333333334
Mean Squared Error = 124.0
Root Mean Squared Error = 11.135528725660043
Mean Absolute Percentage Error = 0.06217020636193025
dates,occupancy
2019-03-01,142
2019-03-02,144
2019-03-03,141
2019-03-04,142
2019-03-05,144
2019-03-06,139
2019-03-07,138
2019-03-08,137
2019-03-09,138
2019-03-10,137
2019-03-11,135
2019-03-12,133
2019-03-13,129
2019-03-14,130
2019-03-15,133
2019-03-16,132
2019-03-17,133
2019-03-18,135
2019-03-19,138
2019-03-20,138
2019-03-21,135
2019-03-22,133
2019-03-23,133
2019-03-24,137
2019-03-25,138
2019-03-26,142
2019-03-27,143
2019-03-28,145
2019-03-29,145
2019-03-30,145
