target_days: 30
parameters: 
trend: add
damped_trend: False
seasonal: mul
seasonal_periods: 60
initialization_method: estimated
smoothing_level: 0.8
smoothing_trend: 0.0
smoothing_seasonal: 0.02
Mean Absolute Error = 10.633333333333333
Mean Squared Error = 188.1
Root Mean Squared Error = 13.714955340794953
Mean Absolute Percentage Error = 0.07964557126958707
dates,occupancy
2019-03-02,148
2019-03-03,152
2019-03-04,147
2019-03-05,151
2019-03-06,153
2019-03-07,142
2019-03-08,141
2019-03-09,139
2019-03-10,140
2019-03-11,139
2019-03-12,143
2019-03-13,142
2019-03-14,130
2019-03-15,121
2019-03-16,121
2019-03-17,116
2019-03-18,118
2019-03-19,126
2019-03-20,127
2019-03-21,119
2019-03-22,121
2019-03-23,124
2019-03-24,125
2019-03-25,127
2019-03-26,131
2019-03-27,140
2019-03-28,143
2019-03-29,144
2019-03-30,148
2019-03-31,149
