date,bundesland_id,bundesland_name,landkreis_id,landkreis_name,anzahl_standorte,anzahl_meldebereiche,faelle_covid_aktuell,faelle_covid_aktuell_invasiv_beatmet,intensivbetten_frei,occupancy,intensivbetten_belegt_erwachsen,intensivbetten_frei_erwachsen
2020-04-24,9,Bayern,9361,SK Amberg,1,1,11,6.0,14,19,19,14
2020-04-25,9,Bayern,9361,SK Amberg,1,1,9,5.0,15,18,18,15
2020-04-26,9,Bayern,9361,SK Amberg,1,1,8,4.0,15,18,18,15
2020-04-27,9,Bayern,9361,SK Amberg,1,1,6,3.0,17,16,16,17
2020-04-28,9,Bayern,9361,SK Amberg,1,1,5,3.0,17,16,16,17
2020-04-29,9,Bayern,9361,SK Amberg,1,1,4,3.0,18,15,15,18
2020-04-30,9,Bayern,9361,SK Amberg,1,1,4,3.0,17,16,16,17
2020-05-01,9,Bayern,9361,SK Amberg,1,1,4,3.0,17,16,16,17
2020-05-02,9,Bayern,9361,SK Amberg,1,1,4,3.0,18,15,15,18
2020-05-03,9,Bayern,9361,SK Amberg,1,1,5,3.0,18,15,15,18
2020-05-04,9,Bayern,9361,SK Amberg,1,1,5,3.0,15,18,18,15
2020-05-05,9,Bayern,9361,SK Amberg,1,1,4,3.0,15,18,18,15
2020-05-06,9,Bayern,9361,SK Amberg,1,1,4,2.0,15,18,18,15
2020-05-07,9,Bayern,9361,SK Amberg,1,1,4,2.0,14,19,19,14
2020-05-08,9,Bayern,9361,SK Amberg,1,1,3,1.0,10,15,15,10
2020-05-09,9,Bayern,9361,SK Amberg,1,1,3,1.0,13,12,12,13
2020-05-10,9,Bayern,9361,SK Amberg,1,1,2,2.0,15,10,10,15
2020-05-11,9,Bayern,9361,SK Amberg,1,1,2,2.0,11,14,14,11
2020-05-12,9,Bayern,9361,SK Amberg,1,1,1,1.0,10,15,15,10
2020-05-13,9,Bayern,9361,SK Amberg,1,1,1,1.0,16,9,9,16
2020-05-14,9,Bayern,9361,SK Amberg,1,1,1,1.0,14,11,11,14
2020-05-15,9,Bayern,9361,SK Amberg,1,1,1,1.0,15,10,10,15
2020-05-16,9,Bayern,9361,SK Amberg,1,1,1,1.0,10,15,15,10
2020-05-17,9,Bayern,9361,SK Amberg,1,1,1,1.0,13,12,12,13
2020-05-18,9,Bayern,9361,SK Amberg,1,1,1,1.0,13,12,12,13
2020-05-19,9,Bayern,9361,SK Amberg,1,1,2,2.0,14,11,11,14
2020-05-20,9,Bayern,9361,SK Amberg,1,1,2,2.0,12,13,13,12
2020-05-21,9,Bayern,9361,SK Amberg,1,1,3,2.0,12,13,13,12
2020-05-22,9,Bayern,9361,SK Amberg,1,1,3,1.0,13,12,12,13
2020-05-23,9,Bayern,9361,SK Amberg,1,1,1,1.0,13,12,12,13
2020-05-24,9,Bayern,9361,SK Amberg,1,1,1,0.0,15,10,10,15
2020-05-25,9,Bayern,9361,SK Amberg,1,1,1,1.0,15,10,10,15
2020-05-26,9,Bayern,9361,SK Amberg,1,1,1,1.0,13,12,12,13
2020-05-27,9,Bayern,9361,SK Amberg,1,1,1,1.0,16,9,9,16
2020-05-28,9,Bayern,9361,SK Amberg,1,1,1,1.0,17,8,8,17
2020-05-29,9,Bayern,9361,SK Amberg,1,1,1,1.0,15,10,10,15
2020-05-30,9,Bayern,9361,SK Amberg,1,1,1,1.0,13,12,12,13
2020-05-31,9,Bayern,9361,SK Amberg,1,1,1,1.0,13,12,12,13
2020-06-01,9,Bayern,9361,SK Amberg,1,1,1,1.0,14,11,11,14
2020-06-02,9,Bayern,9361,SK Amberg,1,1,1,1.0,26,11,11,26
2020-06-03,9,Bayern,9361,SK Amberg,1,1,2,1.0,20,17,17,20
2020-06-04,9,Bayern,9361,SK Amberg,1,1,2,1.0,20,17,17,20
2020-06-05,9,Bayern,9361,SK Amberg,1,1,2,1.0,24,13,13,24
2020-06-06,9,Bayern,9361,SK Amberg,1,1,2,1.0,18,19,19,18
2020-06-07,9,Bayern,9361,SK Amberg,1,1,2,1.0,17,20,20,17
2020-06-08,9,Bayern,9361,SK Amberg,1,1,1,1.0,22,15,15,22
2020-06-09,9,Bayern,9361,SK Amberg,1,1,1,0.0,24,15,15,24
2020-06-10,9,Bayern,9361,SK Amberg,1,1,0,0.0,23,16,16,23
2020-06-11,9,Bayern,9361,SK Amberg,1,1,0,0.0,23,16,16,23
2020-06-12,9,Bayern,9361,SK Amberg,1,1,0,0.0,25,14,14,25
2020-06-13,9,Bayern,9361,SK Amberg,1,1,0,0.0,25,14,14,25
2020-06-14,9,Bayern,9361,SK Amberg,1,1,0,0.0,22,17,17,22
2020-06-15,9,Bayern,9361,SK Amberg,1,1,0,0.0,27,12,12,27
2020-06-16,9,Bayern,9361,SK Amberg,1,1,0,0.0,24,15,15,24
2020-06-17,9,Bayern,9361,SK Amberg,1,1,0,0.0,24,15,15,24
2020-06-18,9,Bayern,9361,SK Amberg,1,1,1,0.0,20,19,19,20
2020-06-19,9,Bayern,9361,SK Amberg,1,1,1,0.0,27,12,12,27
2020-06-20,9,Bayern,9361,SK Amberg,1,1,1,0.0,27,12,12,27
2020-06-21,9,Bayern,9361,SK Amberg,1,1,0,0.0,24,15,15,24
2020-06-22,9,Bayern,9361,SK Amberg,1,1,0,0.0,25,14,14,25
2020-06-23,9,Bayern,9361,SK Amberg,1,1,0,0.0,25,14,14,25
2020-06-24,9,Bayern,9361,SK Amberg,1,1,0,0.0,22,17,17,22
2020-06-25,9,Bayern,9361,SK Amberg,1,1,0,0.0,21,18,18,21
2020-06-26,9,Bayern,9361,SK Amberg,1,1,0,0.0,21,18,18,21
2020-06-27,9,Bayern,9361,SK Amberg,1,1,0,0.0,24,15,15,24
2020-06-28,9,Bayern,9361,SK Amberg,1,1,0,0.0,26,13,13,26
2020-06-29,9,Bayern,9361,SK Amberg,1,1,0,0.0,24,15,15,24
2020-06-30,9,Bayern,9361,SK Amberg,1,1,0,0.0,21,18,18,21
2020-07-01,9,Bayern,9361,SK Amberg,1,1,1,1.0,18,21,21,18
2020-07-02,9,Bayern,9361,SK Amberg,1,1,1,1.0,13,26,26,13
2020-07-03,9,Bayern,9361,SK Amberg,1,1,2,1.0,14,25,25,14
2020-07-04,9,Bayern,9361,SK Amberg,1,1,2,1.0,19,20,20,19
2020-07-05,9,Bayern,9361,SK Amberg,1,1,1,0.0,22,17,17,22
2020-07-06,9,Bayern,9361,SK Amberg,1,1,1,0.0,17,22,22,17
2020-07-07,9,Bayern,9361,SK Amberg,1,1,0,0.0,17,22,22,17
2020-07-08,9,Bayern,9361,SK Amberg,1,1,1,0.0,16,23,23,16
2020-07-09,9,Bayern,9361,SK Amberg,1,1,1,0.0,13,26,26,13
2020-07-10,9,Bayern,9361,SK Amberg,1,1,1,0.0,13,26,26,13
