dates,bundesland_id,bundesland_name,landkreis_id,landkreis_name,anzahl_standorte,anzahl_meldebereiche,faelle_covid_aktuell,faelle_covid_aktuell_invasiv_beatmet,intensivbetten_frei,occupancy,intensivbetten_belegt_erwachsen,intensivbetten_frei_erwachsen
2020-04-24,14,Sachsen,14729,LK Leipzig,3,3,0,0,19,35,35,19
2020-04-25,14,Sachsen,14729,LK Leipzig,3,3,0,0,20,37,37,20
2020-04-26,14,Sachsen,14729,LK Leipzig,3,3,0,0,24,32,32,24
2020-04-27,14,Sachsen,14729,LK Leipzig,3,3,0,0,25,31,31,25
2020-04-28,14,Sachsen,14729,LK Leipzig,3,3,0,0,23,32,32,23
2020-04-29,14,Sachsen,14729,LK Leipzig,3,3,0,0,23,33,33,23
2020-04-30,14,Sachsen,14729,LK Leipzig,3,3,0,0,25,30,30,25
2020-05-01,14,Sachsen,14729,LK Leipzig,3,3,0,0,26,27,27,26
2020-05-02,14,Sachsen,14729,LK Leipzig,3,3,0,0,28,26,26,28
2020-05-03,14,Sachsen,14729,LK Leipzig,3,3,0,0,36,25,25,36
2020-05-04,14,Sachsen,14729,LK Leipzig,3,3,0,0,26,27,27,26
2020-05-05,14,Sachsen,14729,LK Leipzig,3,3,0,0,20,35,35,20
2020-05-06,14,Sachsen,14729,LK Leipzig,3,3,0,0,22,31,31,22
2020-05-07,14,Sachsen,14729,LK Leipzig,3,3,0,0,18,35,35,18
2020-05-08,14,Sachsen,14729,LK Leipzig,3,3,0,0,20,33,33,20
2020-05-09,14,Sachsen,14729,LK Leipzig,3,3,0,0,22,32,32,22
2020-05-10,14,Sachsen,14729,LK Leipzig,3,3,0,0,22,32,32,22
2020-05-11,14,Sachsen,14729,LK Leipzig,3,3,0,0,24,31,31,24
2020-05-12,14,Sachsen,14729,LK Leipzig,3,3,0,0,23,31,31,23
2020-05-13,14,Sachsen,14729,LK Leipzig,3,3,0,0,19,36,36,19
2020-05-14,14,Sachsen,14729,LK Leipzig,3,3,0,0,14,40,40,14
2020-05-15,14,Sachsen,14729,LK Leipzig,3,3,0,0,19,35,35,19
2020-05-16,14,Sachsen,14729,LK Leipzig,3,3,0,0,22,33,33,22
2020-05-17,14,Sachsen,14729,LK Leipzig,3,3,0,0,27,27,27,27
2020-05-18,14,Sachsen,14729,LK Leipzig,3,3,0,0,23,32,32,23
2020-05-19,14,Sachsen,14729,LK Leipzig,3,3,0,0,23,30,30,23
2020-05-20,14,Sachsen,14729,LK Leipzig,3,3,0,0,15,37,37,15
2020-05-21,14,Sachsen,14729,LK Leipzig,3,3,0,0,14,39,39,14
2020-05-22,14,Sachsen,14729,LK Leipzig,3,3,0,0,19,34,34,19
2020-05-23,14,Sachsen,14729,LK Leipzig,3,3,0,0,21,31,31,21
2020-05-24,14,Sachsen,14729,LK Leipzig,3,3,0,0,22,31,31,22
2020-05-25,14,Sachsen,14729,LK Leipzig,3,3,0,0,24,30,30,24
2020-05-26,14,Sachsen,14729,LK Leipzig,3,3,0,0,29,24,24,29
2020-05-27,14,Sachsen,14729,LK Leipzig,3,3,0,0,23,31,31,23
