date;occupancy;prediction
2019-03-01 00:00:00;145;154
2019-03-02 00:00:00;146;149
2019-03-03 00:00:00;149;143
2019-03-04 00:00:00;156;140
2019-03-05 00:00:00;156;138
2019-03-06 00:00:00;160;136
2019-03-07 00:00:00;151;134
2019-03-08 00:00:00;148;135
2019-03-09 00:00:00;143;135
2019-03-10 00:00:00;130;135
2019-03-11 00:00:00;135;136
2019-03-12 00:00:00;139;142
2019-03-13 00:00:00;127;144
2019-03-14 00:00:00;124;144
2019-03-15 00:00:00;130;145
2019-03-16 00:00:00;124;146
2019-03-17 00:00:00;130;142
2019-03-18 00:00:00;133;148
2019-03-19 00:00:00;151;152
2019-03-20 00:00:00;144;153
2019-03-21 00:00:00;138;153
2019-03-22 00:00:00;145;151
2019-03-23 00:00:00;138;147
2019-03-24 00:00:00;125;143
2019-03-25 00:00:00;141;147
2019-03-26 00:00:00;123;149
2019-03-27 00:00:00;129;149
2019-03-28 00:00:00;141;148
2019-03-29 00:00:00;142;143
2019-03-30 00:00:00;133;139
2019-03-31 00:00:00;107;134
