date,occupancy
2017-05-01,139
2017-05-02,135
2017-05-03,133
2017-05-04,133
2017-05-05,135
2017-05-06,130
2017-05-07,133
2017-05-08,140
2017-05-09,143
2017-05-10,132
2017-05-11,128
2017-05-12,124
2017-05-13,133
2017-05-14,123
2017-05-15,135
2017-05-16,130
2017-05-17,135
2017-05-18,139
2017-05-19,135
2017-05-20,124
2017-05-21,120
2017-05-22,117
2017-05-23,120
2017-05-24,125
2017-05-25,119
2017-05-26,102
2017-05-27,110
2017-05-28,112
2017-05-29,111
2017-05-30,115
2017-05-31,105
2017-06-01,115
2017-06-02,113
2017-06-03,112
2017-06-04,117
2017-06-05,132
2017-06-06,132
2017-06-07,134
2017-06-08,144
2017-06-09,133
2017-06-10,122
2017-06-11,116
2017-06-12,111
2017-06-13,113
2017-06-14,110
2017-06-15,111
2017-06-16,105
2017-06-17,105
2017-06-18,105
2017-06-19,109
2017-06-20,115
2017-06-21,114
2017-06-22,116
2017-06-23,125
2017-06-24,133
2017-06-25,126
2017-06-26,138
2017-06-27,138
2017-06-28,132
2017-06-29,132
2017-06-30,126
2017-07-01,115
2017-07-02,117
2017-07-03,129
2017-07-04,134
2017-07-05,137
2017-07-06,137
2017-07-07,139
2017-07-08,131
2017-07-09,121
2017-07-10,136
2017-07-11,138
2017-07-12,141
2017-07-13,136
2017-07-14,136
2017-07-15,124
2017-07-16,115
2017-07-17,126
2017-07-18,135
2017-07-19,136
2017-07-20,132
2017-07-21,132
2017-07-22,117
2017-07-23,107
2017-07-24,113
2017-07-25,106
2017-07-26,124
2017-07-27,131
2017-07-28,128
2017-07-29,115
2017-07-30,113
2017-07-31,125
2017-08-01,132
2017-08-02,131
2017-08-03,125
2017-08-04,130
2017-08-05,125
2017-08-06,129
2017-08-07,137
2017-08-08,143
2017-08-09,120
2017-08-10,98
2017-08-11,80
2017-08-12,67
2017-08-13,70
2017-08-14,71
2017-08-15,70
2017-08-16,74
2017-08-17,80
2017-08-18,73
2017-08-19,64
2017-08-20,64
2017-08-21,84
2017-08-22,93
2017-08-23,104
2017-08-24,119
2017-08-25,134
2017-08-26,133
2017-08-27,130
2017-08-28,137
2017-08-29,135
2017-08-30,131
2017-08-31,139
2017-09-01,131
2017-09-02,122
2017-09-03,113
2017-09-04,120
2017-09-05,122
2017-09-06,126
2017-09-07,116
2017-09-08,118
2017-09-09,122
2017-09-10,115
2017-09-11,130
2017-09-12,138
2017-09-13,136
2017-09-14,139
2017-09-15,138
2017-09-16,143
2017-09-17,127
2017-09-18,139
2017-09-19,139
2017-09-20,124
2017-09-21,115
2017-09-22,115
2017-09-23,121
2017-09-24,114
2017-09-25,143
2017-09-26,142
2017-09-27,141
2017-09-28,136
2017-09-29,133
2017-09-30,120
2017-10-01,124
2017-10-02,142
2017-10-03,153
2017-10-04,166
2017-10-05,159
2017-10-06,150
2017-10-07,160
2017-10-08,157
2017-10-09,166
2017-10-10,158
2017-10-11,162
2017-10-12,147
2017-10-13,140
2017-10-14,138
2017-10-15,123
2017-10-16,133
2017-10-17,133
2017-10-18,111
2017-10-19,92
2017-10-20,97
2017-10-21,95
2017-10-22,94
2017-10-23,96
2017-10-24,100
2017-10-25,105
2017-10-26,112
2017-10-27,112
2017-10-28,122
2017-10-29,119
2017-10-30,138
2017-10-31,156
2017-11-01,162
2017-11-02,166
2017-11-03,165
2017-11-04,179
2017-11-05,167
2017-11-06,195
2017-11-07,183
2017-11-08,187
2017-11-09,173
2017-11-10,180
2017-11-11,170
2017-11-12,149
2017-11-13,167
2017-11-14,158
2017-11-15,157
2017-11-16,154
2017-11-17,161
2017-11-18,152
2017-11-19,146
2017-11-20,152
2017-11-21,162
2017-11-22,161
2017-11-23,161
2017-11-24,168
2017-11-25,173
2017-11-26,159
2017-11-27,157
2017-11-28,155
2017-11-29,162
2017-11-30,165
2017-12-01,166
2017-12-02,181
2017-12-03,181
2017-12-04,191
2017-12-05,207
2017-12-06,198
2017-12-07,202
2017-12-08,206
2017-12-09,202
2017-12-10,185
2017-12-11,185
2017-12-12,176
2017-12-13,162
2017-12-14,153
2017-12-15,146
2017-12-16,137
2017-12-17,126
2017-12-18,128
2017-12-19,116
2017-12-20,129
2017-12-21,137
2017-12-22,146
2017-12-23,147
2017-12-24,142
2017-12-25,146
2017-12-26,162
2017-12-27,158
2017-12-28,161
2017-12-29,161
2017-12-30,175
2017-12-31,166
2018-01-01,194
2018-01-02,194
2018-01-03,197
2018-01-04,198
2018-01-05,204
2018-01-06,199
2018-01-07,204
2018-01-08,195
2018-01-09,203
2018-01-10,206
2018-01-11,187
2018-01-12,183
2018-01-13,168
2018-01-14,158
2018-01-15,175
2018-01-16,183
2018-01-17,186
2018-01-18,166
2018-01-19,142
2018-01-20,130
2018-01-21,116
2018-01-22,113
2018-01-23,107
2018-01-24,104
2018-01-25,93
2018-01-26,83
2018-01-27,77
2018-01-28,75
2018-01-29,79
2018-01-30,75
2018-01-31,74
2018-02-01,95
2018-02-02,97
2018-02-03,91
2018-02-04,86
2018-02-05,95
2018-02-06,94
2018-02-07,100
2018-02-08,110
2018-02-09,122
2018-02-10,123
2018-02-11,127
2018-02-12,142
2018-02-13,152
2018-02-14,163
2018-02-15,168
2018-02-16,171
2018-02-17,166
2018-02-18,166
2018-02-19,182
2018-02-20,196
2018-02-21,190
2018-02-22,184
2018-02-23,186
2018-02-24,169
2018-02-25,150
2018-02-26,162
2018-02-27,159
2018-02-28,171
2018-03-01,158
2018-03-02,143
2018-03-03,140
2018-03-04,125
2018-03-05,130
2018-03-06,122
2018-03-07,111
2018-03-08,112
2018-03-09,117
2018-03-10,121
2018-03-11,126
2018-03-12,140
2018-03-13,133
2018-03-14,136
2018-03-15,131
2018-03-16,145
2018-03-17,143
2018-03-18,135
2018-03-19,154
2018-03-20,159
2018-03-21,156
2018-03-22,149
2018-03-23,147
2018-03-24,144
2018-03-25,139
2018-03-26,144
2018-03-27,151
2018-03-28,144
2018-03-29,130
2018-03-30,131
2018-03-31,123
2018-04-01,116
2018-04-02,123
2018-04-03,124
2018-04-04,125
2018-04-05,133
2018-04-06,141
2018-04-07,156
2018-04-08,141
2018-04-09,160
2018-04-10,167
2018-04-11,162
2018-04-12,152
2018-04-13,141
2018-04-14,127
2018-04-15,125
2018-04-16,127
2018-04-17,123
2018-04-18,104
2018-04-19,92
2018-04-20,100
2018-04-21,90
2018-04-22,90
2018-04-23,103
2018-04-24,104
2018-04-25,94
2018-04-26,87
2018-04-27,78
2018-04-28,70
2018-04-29,61
2018-04-30,63
2018-05-01,76
2018-05-02,87
2018-05-03,86
2018-05-04,88
2018-05-05,94
2018-05-06,85
2018-05-07,105
2018-05-08,118
2018-05-09,119
2018-05-10,112
2018-05-11,105
2018-05-12,101
2018-05-13,99
2018-05-14,111
2018-05-15,109
2018-05-16,107
2018-05-17,98
2018-05-18,96
2018-05-19,97
2018-05-20,94
2018-05-21,99
2018-05-22,111
2018-05-23,107
2018-05-24,119
2018-05-25,129
2018-05-26,110
2018-05-27,92
2018-05-28,103
2018-05-29,108
2018-05-30,104
2018-05-31,107
2018-06-01,127
2018-06-02,124
2018-06-03,120
2018-06-04,136
2018-06-05,133
2018-06-06,129
2018-06-07,124
2018-06-08,124
2018-06-09,110
2018-06-10,104
2018-06-11,112
2018-06-12,116
2018-06-13,122
2018-06-14,131
2018-06-15,116
2018-06-16,113
2018-06-17,102
2018-06-18,96
2018-06-19,87
2018-06-20,86
2018-06-21,87
2018-06-22,101
2018-06-23,99
2018-06-24,97
2018-06-25,106
2018-06-26,118
2018-06-27,115
2018-06-28,104
2018-06-29,106
2018-06-30,104
2018-07-01,98
2018-07-02,105
2018-07-03,106
2018-07-04,98
2018-07-05,102
2018-07-06,107
2018-07-07,110
2018-07-08,95
2018-07-09,105
2018-07-10,105
2018-07-11,111
2018-07-12,107
2018-07-13,108
2018-07-14,116
2018-07-15,107
2018-07-16,110
2018-07-17,116
2018-07-18,108
2018-07-19,101
2018-07-20,99
2018-07-21,102
2018-07-22,93
2018-07-23,97
2018-07-24,100
2018-07-25,111
2018-07-26,110
2018-07-27,99
2018-07-28,94
2018-07-29,97
2018-07-30,104
2018-07-31,92
2018-08-01,92
2018-08-02,87
2018-08-03,88
2018-08-04,94
2018-08-05,97
2018-08-06,102
2018-08-07,112
2018-08-08,112
2018-08-09,109
2018-08-10,111
2018-08-11,99
2018-08-12,100
2018-08-13,98
2018-08-14,99
2018-08-15,102
2018-08-16,109
2018-08-17,124
2018-08-18,120
2018-08-19,105
2018-08-20,128
2018-08-21,139
2018-08-22,146
2018-08-23,149
2018-08-24,136
2018-08-25,132
2018-08-26,120
2018-08-27,132
2018-08-28,120
2018-08-29,120
2018-08-30,119
2018-08-31,112
2018-09-01,103
2018-09-02,94
2018-09-03,101
2018-09-04,105
2018-09-05,105
2018-09-06,107
2018-09-07,112
2018-09-08,117
2018-09-09,107
2018-09-10,118
2018-09-11,126
2018-09-12,126
2018-09-13,121
2018-09-14,127
2018-09-15,123
2018-09-16,128
2018-09-17,142
2018-09-18,148
2018-09-19,141
2018-09-20,138
2018-09-21,146
2018-09-22,141
2018-09-23,134
2018-09-24,124
2018-09-25,140
2018-09-26,143
2018-09-27,145
2018-09-28,154
2018-09-29,146
2018-09-30,141
2018-10-01,135
2018-10-02,129
2018-10-03,131
2018-10-04,121
2018-10-05,113
2018-10-06,105
2018-10-07,100
2018-10-08,110
2018-10-09,118
2018-10-10,118
2018-10-11,120
2018-10-12,117
2018-10-13,133
2018-10-14,123
2018-10-15,139
2018-10-16,145
2018-10-17,147
2018-10-18,140
2018-10-19,137
2018-10-20,136
2018-10-21,128
2018-10-22,145
2018-10-23,140
2018-10-24,139
2018-10-25,139
2018-10-26,141
2018-10-27,137
2018-10-28,144
2018-10-29,156
2018-10-30,154
2018-10-31,156
2018-11-01,133
2018-11-02,131
2018-11-03,142
2018-11-04,121
2018-11-05,123
2018-11-06,116
2018-11-07,110
2018-11-08,107
2018-11-09,118
2018-11-10,123
2018-11-11,120
2018-11-12,133
2018-11-13,148
2018-11-14,132
2018-11-15,124
2018-11-16,130
2018-11-17,120
2018-11-18,105
2018-11-19,115
2018-11-20,135
2018-11-21,141
2018-11-22,140
2018-11-23,127
2018-11-24,121
2018-11-25,121
2018-11-26,139
2018-11-27,137
2018-11-28,138
2018-11-29,148
2018-11-30,145
2018-12-01,153
2018-12-02,137
2018-12-03,147
2018-12-04,139
2018-12-05,149
2018-12-06,152
2018-12-07,150
2018-12-08,144
2018-12-09,135
2018-12-10,135
2018-12-11,141
2018-12-12,129
2018-12-13,119
2018-12-14,114
2018-12-15,121
2018-12-16,114
2018-12-17,123
2018-12-18,121
2018-12-19,132
2018-12-20,144
2018-12-21,141
2018-12-22,129
2018-12-23,124
2018-12-24,129
2018-12-25,139
2018-12-26,141
2018-12-27,141
2018-12-28,142
2018-12-29,139
2018-12-30,138
2018-12-31,150
2019-01-01,146
2019-01-02,154
2019-01-03,163
2019-01-04,172
2019-01-05,183
2019-01-06,176
2019-01-07,175
2019-01-08,179
2019-01-09,186
2019-01-10,164
2019-01-11,157
2019-01-12,141
2019-01-13,135
2019-01-14,145
2019-01-15,158
2019-01-16,162
2019-01-17,163
2019-01-18,162
2019-01-19,164
2019-01-20,161
2019-01-21,162
2019-01-22,152
2019-01-23,162
2019-01-24,166
2019-01-25,194
2019-01-26,195
2019-01-27,177
2019-01-28,187
2019-01-29,185
2019-01-30,188
2019-01-31,191
2019-02-01,180
2019-02-02,185
2019-02-03,166
2019-02-04,180
2019-02-05,180
2019-02-06,180
2019-02-07,180
2019-02-08,169
2019-02-09,165
2019-02-10,150
2019-02-11,155
2019-02-12,146
2019-02-13,158
2019-02-14,154
2019-02-15,149
2019-02-16,137
2019-02-17,131
2019-02-18,142
2019-02-19,147
2019-02-20,156
2019-02-21,161
2019-02-22,164
2019-02-23,152
2019-02-24,148
2019-02-25,152
2019-02-26,149
2019-02-27,153
2019-02-28,154
2019-03-01,145
2019-03-02,146
2019-03-03,149
2019-03-04,156
2019-03-05,156
2019-03-06,160
2019-03-07,151
2019-03-08,148
2019-03-09,143
2019-03-10,130
2019-03-11,135
2019-03-12,139
2019-03-13,127
2019-03-14,124
2019-03-15,130
2019-03-16,124
2019-03-17,130
2019-03-18,133
2019-03-19,151
2019-03-20,144
2019-03-21,138
2019-03-22,145
2019-03-23,138
2019-03-24,125
2019-03-25,141
2019-03-26,123
2019-03-27,129
2019-03-28,141
2019-03-29,142
2019-03-30,133
2019-03-31,107
