date,bundesland_id,bundesland_name,landkreis_id,landkreis_name,anzahl_standorte,anzahl_meldebereiche,faelle_covid_aktuell,faelle_covid_aktuell_invasiv_beatmet,intensivbetten_frei,occupancy,intensivbetten_belegt_erwachsen,intensivbetten_frei_erwachsen
2020-04-24,14,Sachsen,14713,SK Leipzig,7,8,9,6,169,230,225,152
2020-04-25,14,Sachsen,14713,SK Leipzig,7,8,6,2,174,227,221,156
2020-04-26,14,Sachsen,14713,SK Leipzig,7,8,6,2,178,226,220,160
2020-04-27,14,Sachsen,14713,SK Leipzig,7,8,6,2,177,226,221,160
2020-04-28,14,Sachsen,14713,SK Leipzig,7,8,5,2,139,266,260,123
2020-04-29,14,Sachsen,14713,SK Leipzig,7,8,5,2,141,269,259,129
2020-04-30,14,Sachsen,14713,SK Leipzig,7,8,5,1,109,292,278,101
2020-05-01,14,Sachsen,14713,SK Leipzig,7,8,6,1,129,272,266,113
2020-05-02,14,Sachsen,14713,SK Leipzig,7,8,5,1,140,259,250,127
2020-05-03,14,Sachsen,14713,SK Leipzig,7,8,5,1,150,248,242,135
2020-05-04,14,Sachsen,14713,SK Leipzig,7,8,5,1,140,260,253,125
2020-05-05,14,Sachsen,14713,SK Leipzig,7,8,6,1,124,276,269,109
2020-05-06,14,Sachsen,14713,SK Leipzig,7,8,5,1,112,288,280,98
2020-05-07,14,Sachsen,14713,SK Leipzig,7,8,6,1,117,288,280,103
2020-05-08,14,Sachsen,14713,SK Leipzig,7,8,5,1,126,279,270,113
2020-05-09,14,Sachsen,14713,SK Leipzig,7,8,6,2,125,280,271,112
2020-05-10,14,Sachsen,14713,SK Leipzig,7,8,6,2,149,257,249,135
2020-05-11,14,Sachsen,14713,SK Leipzig,7,8,6,2,139,254,247,124
2020-05-12,14,Sachsen,14713,SK Leipzig,7,8,5,2,126,271,262,113
2020-05-13,14,Sachsen,14713,SK Leipzig,7,8,5,2,139,259,250,126
2020-05-14,14,Sachsen,14713,SK Leipzig,7,8,5,2,133,265,255,121
2020-05-15,14,Sachsen,14713,SK Leipzig,7,8,4,2,125,283,274,112
2020-05-16,14,Sachsen,14713,SK Leipzig,7,8,4,2,140,270,261,127
2020-05-17,14,Sachsen,14713,SK Leipzig,7,8,4,2,146,264,257,131
2020-05-18,14,Sachsen,14713,SK Leipzig,7,8,4,2,150,258,251,135
2020-05-19,14,Sachsen,14713,SK Leipzig,7,9,4,2,143,271,255,131
2020-05-20,14,Sachsen,14713,SK Leipzig,7,9,3,2,141,274,259,128
2020-05-21,14,Sachsen,14713,SK Leipzig,7,9,3,2,139,275,261,125
2020-05-22,14,Sachsen,14713,SK Leipzig,7,9,3,2,163,251,233,153
2020-05-23,14,Sachsen,14713,SK Leipzig,7,9,2,1,155,259,244,142
2020-05-24,14,Sachsen,14713,SK Leipzig,7,9,2,1,163,251,235,151
2020-05-25,14,Sachsen,14713,SK Leipzig,7,9,2,1,153,261,244,142
2020-05-26,14,Sachsen,14713,SK Leipzig,7,9,1,1,125,287,269,115
2020-05-27,14,Sachsen,14713,SK Leipzig,7,9,1,1,128,284,265,119
2020-05-28,14,Sachsen,14713,SK Leipzig,7,9,1,1,109,303,285,99
2020-05-29,14,Sachsen,14713,SK Leipzig,7,9,1,1,106,306,289,95
2020-05-30,14,Sachsen,14713,SK Leipzig,7,9,1,1,131,281,266,118
2020-05-31,14,Sachsen,14713,SK Leipzig,7,9,1,1,148,264,248,136
2020-06-01,14,Sachsen,14713,SK Leipzig,7,9,0,0,154,257,243,140
2020-06-02,14,Sachsen,14713,SK Leipzig,7,9,0,0,150,262,245,139
2020-06-03,14,Sachsen,14713,SK Leipzig,7,9,0,0,141,271,255,129
2020-06-04,14,Sachsen,14713,SK Leipzig,7,9,0,0,118,294,277,107
2020-06-05,14,Sachsen,14713,SK Leipzig,7,9,0,0,113,299,280,104
2020-06-06,14,Sachsen,14713,SK Leipzig,7,9,0,0,134,278,263,121
2020-06-07,14,Sachsen,14713,SK Leipzig,7,9,0,0,156,256,242,142
2020-06-08,14,Sachsen,14713,SK Leipzig,7,9,0,0,148,264,247,137
2020-06-09,14,Sachsen,14713,SK Leipzig,7,9,0,0,112,300,282,102
2020-06-10,14,Sachsen,14713,SK Leipzig,7,9,0,0,110,302,283,101
2020-06-11,14,Sachsen,14713,SK Leipzig,7,9,0,0,115,297,278,106
2020-06-12,14,Sachsen,14713,SK Leipzig,7,9,0,0,114,299,280,105
2020-06-13,14,Sachsen,14713,SK Leipzig,7,9,0,0,121,290,271,112
2020-06-14,14,Sachsen,14713,SK Leipzig,7,9,0,0,133,279,265,119
2020-06-15,14,Sachsen,14713,SK Leipzig,7,9,0,0,131,281,265,119
2020-06-16,14,Sachsen,14713,SK Leipzig,7,9,0,0,108,304,288,96
2020-06-17,14,Sachsen,14713,SK Leipzig,7,9,0,0,112,300,284,100
2020-06-18,14,Sachsen,14713,SK Leipzig,7,9,0,0,97,310,294,85
2020-06-19,14,Sachsen,14713,SK Leipzig,7,9,0,0,101,311,292,92
2020-06-20,14,Sachsen,14713,SK Leipzig,7,9,1,0,116,296,280,104
2020-06-21,14,Sachsen,14713,SK Leipzig,7,9,0,0,142,270,254,130
2020-06-22,14,Sachsen,14713,SK Leipzig,7,9,0,0,139,273,259,125
2020-06-23,14,Sachsen,14713,SK Leipzig,7,9,0,0,128,295,278,117
2020-06-24,14,Sachsen,14713,SK Leipzig,7,9,0,0,115,308,288,107
