target_days = 31
rf_regressor_params = 
	n_estimators = 250
	criterion = squared_error
	max_depth = None
	min_samples_split = 2
	min_samples_leaf = 1
	min_weight_fraction_leaf = 0.0
	max_features = 1.0
	max_leaf_nodes = None
	min_impurity_decrease = 0.0
	bootstrap = True
	oob_score = False
	n_jobs = None
	random_state = None
	verbose = 0
	warm_start = False
	ccp_alpha = 0.0
	max_samples = None
	monotonic_cst = None
date;occupancy;prediction
2019-03-01 00:00:00;145;154
2019-03-02 00:00:00;146;149
2019-03-03 00:00:00;149;143
2019-03-04 00:00:00;156;139
2019-03-05 00:00:00;156;137
2019-03-06 00:00:00;160;136
2019-03-07 00:00:00;151;132
2019-03-08 00:00:00;148;133
2019-03-09 00:00:00;143;134
2019-03-10 00:00:00;130;134
2019-03-11 00:00:00;135;135
2019-03-12 00:00:00;139;141
2019-03-13 00:00:00;127;143
2019-03-14 00:00:00;124;143
2019-03-15 00:00:00;130;145
2019-03-16 00:00:00;124;146
2019-03-17 00:00:00;130;143
2019-03-18 00:00:00;133;148
2019-03-19 00:00:00;151;151
2019-03-20 00:00:00;144;153
2019-03-21 00:00:00;138;153
2019-03-22 00:00:00;145;151
2019-03-23 00:00:00;138;148
2019-03-24 00:00:00;125;144
2019-03-25 00:00:00;141;148
2019-03-26 00:00:00;123;148
2019-03-27 00:00:00;129;149
2019-03-28 00:00:00;141;148
2019-03-29 00:00:00;142;143
2019-03-30 00:00:00;133;138
2019-03-31 00:00:00;107;133
