date,bundesland_id,bundesland_name,landkreis_id,landkreis_name,anzahl_standorte,anzahl_meldebereiche,faelle_covid_aktuell,faelle_covid_aktuell_invasiv_beatmet,intensivbetten_frei,occupancy,intensivbetten_belegt_erwachsen,intensivbetten_frei_erwachsen
2020-04-24,16,Thüringen,16071,LK Weimarer Land,3,3,7,6,37,85,85,37
2020-04-25,16,Thüringen,16071,LK Weimarer Land,3,3,7,6,40,82,82,40
2020-04-26,16,Thüringen,16071,LK Weimarer Land,3,3,7,5,47,75,75,47
2020-04-27,16,Thüringen,16071,LK Weimarer Land,3,3,7,5,50,72,72,50
2020-04-28,16,Thüringen,16071,LK Weimarer Land,3,3,7,5,54,68,68,54
2020-04-29,16,Thüringen,16071,LK Weimarer Land,3,3,7,5,46,76,76,46
2020-04-30,16,Thüringen,16071,LK Weimarer Land,3,3,6,4,51,70,70,51
2020-05-01,16,Thüringen,16071,LK Weimarer Land,3,3,6,4,45,77,77,45
2020-05-02,16,Thüringen,16071,LK Weimarer Land,3,3,5,3,45,77,77,45
2020-05-03,16,Thüringen,16071,LK Weimarer Land,3,3,5,3,49,75,75,49
2020-05-04,16,Thüringen,16071,LK Weimarer Land,3,3,5,3,54,68,68,54
2020-05-05,16,Thüringen,16071,LK Weimarer Land,3,3,5,3,49,73,73,49
2020-05-06,16,Thüringen,16071,LK Weimarer Land,3,3,5,3,42,80,80,42
2020-05-07,16,Thüringen,16071,LK Weimarer Land,3,3,5,3,40,82,82,40
2020-05-08,16,Thüringen,16071,LK Weimarer Land,3,3,5,3,40,82,82,40
2020-05-09,16,Thüringen,16071,LK Weimarer Land,3,3,5,3,44,78,78,44
2020-05-10,16,Thüringen,16071,LK Weimarer Land,3,3,5,3,52,68,68,52
2020-05-11,16,Thüringen,16071,LK Weimarer Land,3,3,5,3,44,75,75,44
2020-05-12,16,Thüringen,16071,LK Weimarer Land,3,3,6,4,43,79,79,43
2020-05-13,16,Thüringen,16071,LK Weimarer Land,3,3,6,4,43,79,79,43
2020-05-14,16,Thüringen,16071,LK Weimarer Land,3,3,5,3,51,71,71,51
2020-05-15,16,Thüringen,16071,LK Weimarer Land,3,3,4,3,43,79,79,43
2020-05-16,16,Thüringen,16071,LK Weimarer Land,3,3,4,3,42,80,80,42
2020-05-17,16,Thüringen,16071,LK Weimarer Land,3,3,4,3,47,75,75,47
